ID,grade,sub_grade,open_acc,dti,inq_last_6mths,emp_dur,annual_inc,home_ownership,purpose,loan_amnt,int_rate,revol_bal,revol_util
195099,D,D2,3,3.17,3,01-Mar,140000,RENT,debt_consolidation,15000,0.1629,8592,0.728
239901,A,A4,11,17.99,0,04-Jun,71500,MORTGAGE,credit_card,10000,0.0692,8771,0.386
63636,D,D3,15,22.68,1,04-Jun,40000,MORTGAGE,other,10000,0.1885,13760,0.612
220887,C,C2,9,29.2,0,04-Jun,36000,MORTGAGE,debt_consolidation,14125,0.1447,10907,0.682
154863,A,A2,7,12.43,2,01-Mar,62000,RENT,debt_consolidation,10600,0.0662,10975,0.378
137836,E,E5,10,24.47,0,04-Jun,52378,RENT,debt_consolidation,20675,0.2247,21960,0.605
199990,B,B4,8,28.03,0,01-Mar,40248,OWN,credit_card,6400,0.1249,3680,0.657
23319,C,C3,7,12.86,0,01-Mar,69996,MORTGAGE,debt_consolidation,25000,0.1398,13862,0.82
231189,C,C3,9,7.71,0,10+,45000,RENT,debt_consolidation,10000,0.1333,10697,0.615
193633,D,D1,10,24.99,0,07-Sep,34000,RENT,debt_consolidation,2975,0.1561,2551,0.46
94538,B,B4,10,15.6,0,10+,85000,RENT,debt_consolidation,18000,0.1311,20107,0.562
233722,E,E3,20,26.22,4,10+,88000,MORTGAGE,other,1325,0.1952,13032,0.686
49031,E,E2,9,24.22,0,01-Mar,50000,MORTGAGE,debt_consolidation,22250,0.217,20862,0.979
125434,C,C3,11,12.11,1,07-Sep,65000,MORTGAGE,home_improvement,5100,0.158,10064,0.613
245391,F,F3,8,10.21,2,0-1,60000,MORTGAGE,debt_consolidation,29975,0.245,22510,0.579
6783,C,C3,8,20.4,2,07-Sep,62000,MORTGAGE,major_purchase,2500,0.1465,8374,0.974
26378,D,D2,12,12.35,1,01-Mar,65004,MORTGAGE,debt_consolidation,10000,0.1521,8102,0.466
117206,A,A3,5,0.32,1,07-Sep,95000,MORTGAGE,small_business,5000,0.0762,396,0.016
158338,E,E4,19,30.96,1,01-Mar,62000,MORTGAGE,debt_consolidation,18550,0.2099,30282,0.432
98726,B,B1,11,5.18,1,10+,110000,MORTGAGE,debt_consolidation,10000,0.1016,20077,0.367
119497,C,C1,10,18.41,0,07-Sep,65000,MORTGAGE,debt_consolidation,20000,0.1433,26868,0.759
121374,C,C2,7,23.5,1,04-Jun,50000,RENT,credit_card,10000,0.1531,11278,0.603
213390,D,D3,15,20.34,2,01-Mar,1.00E+05,MORTGAGE,home_improvement,10725,0.1825,5283,0.508
70876,C,C5,23,23.45,2,07-Sep,46100,RENT,credit_card,9300,0.1678,8891,0.357
13072,B,B3,16,16.64,1,01-Mar,60000,MORTGAGE,debt_consolidation,18000,0.1099,30426,0.618
47603,D,D1,14,25.06,0,10+,68000,RENT,debt_consolidation,25000,0.1776,20341,0.706
150123,A,A4,9,18.82,0,01-Mar,70000,MORTGAGE,debt_consolidation,12000,0.079,7117,0.699
184716,B,B2,11,25.17,1,07-Sep,84000,MORTGAGE,debt_consolidation,20000,0.1015,19331,0.844
23022,B,B5,2,0,0,missing,49000,MORTGAGE,other,7200,0.1186,0,0
160928,F,F3,13,28.71,1,01-Mar,65000,MORTGAGE,debt_consolidation,15250,0.245,4967,0.788
165015,E,E5,10,15.95,2,missing,24000,OWN,debt_consolidation,7150,0.2215,10970,0.623
223266,A,A3,8,11.22,0,10+,95000,MORTGAGE,debt_consolidation,26000,0.0762,42119,0.244
85058,B,B1,16,26.26,0,04-Jun,58000,MORTGAGE,credit_card,4800,0.1016,21464,0.556
65785,C,C3,8,11.65,0,01-Mar,110000,MORTGAGE,debt_consolidation,10000,0.1522,4910,0.381
47120,C,C1,11,2.8,3,01-Mar,160000,RENT,other,9000,0.143,10667,0.58
203510,D,D2,12,19.2,0,10+,85000,MORTGAGE,debt_consolidation,10500,0.1757,53694,0.551
92926,D,D4,9,27.26,0,04-Jun,42000,RENT,other,4000,0.1905,15102,0.543
148344,B,B3,4,2.87,1,04-Jun,72000,RENT,debt_consolidation,12000,0.1212,848,0.057
148782,A,A2,9,10.13,2,07-Sep,25000,MORTGAGE,home_improvement,12375,0.0662,3439,0.156
130442,C,C1,17,20.09,3,04-Jun,78000,RENT,credit_card,8300,0.1433,13216,0.462
51085,C,C2,7,16.94,0,0-1,90000,OWN,credit_card,14000,0.151,33512,0.846
240096,C,C4,8,19.17,0,missing,90000,RENT,debt_consolidation,35000,0.1399,51087,0.946
175051,C,C4,12,15.63,0,04-Jun,53000,RENT,debt_consolidation,10500,0.1449,9178,0.496
73443,C,C3,2,5.85,2,07-Sep,72912,MORTGAGE,debt_consolidation,24000,0.1522,15290,0.542
78161,B,B3,11,14.34,2,0-1,80000,RENT,debt_consolidation,15000,0.1212,9497,0.34
66872,D,D1,9,25.66,1,07-Sep,46200,RENT,debt_consolidation,16000,0.1756,8812,0.367
28790,C,C1,9,20.6,0,0-1,24000,RENT,major_purchase,5600,0.1273,6551,0.668
209760,D,D5,9,32.22,0,04-Jun,32000,RENT,debt_consolidation,4825,0.1947,2328,0.358
238636,C,C3,10,16.44,0,07-Sep,1.00E+05,MORTGAGE,debt_consolidation,26000,0.1333,5547,0.237
143534,B,B2,16,16.35,2,04-Jun,140000,MORTGAGE,major_purchase,3000,0.1074,41281,0.685
183822,C,C4,6,30.72,2,01-Mar,40000,RENT,debt_consolidation,10000,0.1449,9946,0.865
23109,C,C3,3,10.3,3,04-Jun,44400,RENT,moving,2350,0.1398,0,0
235440,C,C4,12,19.68,1,0-1,64350,MORTGAGE,home_improvement,12000,0.1399,3679,0.186
188665,B,B5,11,22.54,1,10+,42277,MORTGAGE,credit_card,11500,0.1249,6217,0.576
130981,C,C4,16,11.85,2,01-Mar,72000,MORTGAGE,debt_consolidation,16925,0.1629,6090,0.409
228727,C,C2,5,25.79,0,10+,35000,MORTGAGE,debt_consolidation,4000,0.1269,5443,0.486
239176,B,B5,14,6.32,1,07-Sep,85000,MORTGAGE,debt_consolidation,6000,0.1153,6065,0.163
4144,B,B4,2,2.08,0,04-Jun,38000,RENT,other,8000,0.1242,2007,0.334
93084,C,C3,5,14.95,0,10+,106000,MORTGAGE,credit_card,32000,0.158,27355,0.906
64946,B,B1,16,5.04,0,missing,80000,MORTGAGE,debt_consolidation,8400,0.0971,7847,0.1
208777,C,C2,12,24.36,1,07-Sep,60000,MORTGAGE,debt_consolidation,15000,0.1416,2882,0.443
187546,B,B1,13,18,0,10+,60000,MORTGAGE,debt_consolidation,12000,0.0917,6196,0.316
89918,C,C4,12,17.63,1,04-Jun,32000,RENT,debt_consolidation,11100,0.1629,15964,0.545
13749,A,A5,6,14.07,0,04-Jun,101000,MORTGAGE,credit_card,18000,0.0849,49542,0.506
27537,A,A2,7,8.46,0,10+,57000,MORTGAGE,other,5200,0.0676,714,0.05
181994,E,E5,6,9.48,1,10+,52000,RENT,debt_consolidation,6000,0.2215,9618,0.952
170307,C,C2,6,4.89,0,04-Jun,67500,MORTGAGE,debt_consolidation,12000,0.1335,8279,0.457
166801,E,E4,15,20.3,1,01-Mar,46000,MORTGAGE,small_business,9575,0.2099,1442,0.099
181486,A,A4,6,26.56,0,missing,15000,RENT,debt_consolidation,5000,0.0769,1552,0.345
11293,A,A5,8,16.05,2,01-Mar,45600,MORTGAGE,car,1450,0.0849,9164,0.487
189211,C,C3,9,14.04,0,10+,140000,MORTGAGE,debt_consolidation,8000,0.1398,29440,0.898
95206,B,B1,15,21.98,1,01-Mar,40000,RENT,debt_consolidation,15000,0.1016,21198,0.271
229607,C,C1,21,17.9,2,01-Mar,50012,MORTGAGE,debt_consolidation,7000,0.1229,9927,0.229
12077,A,A5,5,4.68,3,0-1,30000,RENT,car,6500,0.0849,3272,0.212
145404,A,A5,4,15.97,0,01-Mar,13000,RENT,debt_consolidation,5000,0.089,4941,0.402
160524,A,A4,11,12.97,0,0-1,110000,OWN,other,2400,0.0749,84,0.003
43167,B,B5,11,11.82,0,01-Mar,1.00E+05,RENT,credit_card,13000,0.1367,22952,0.873
81501,C,C5,14,10.12,2,missing,42713.76,MORTGAGE,home_improvement,7000,0.1727,6395,0.488
242451,C,C3,11,22.96,1,10+,80000,MORTGAGE,credit_card,20475,0.1333,47327,0.787
21999,C,C4,10,14.6,0,10+,118812,MORTGAGE,debt_consolidation,15000,0.1335,28563,0.949
58120,B,B1,8,20.02,1,07-Sep,35000,MORTGAGE,credit_card,10000,0.0999,20589,0.478
